Nome;Preço;Change;Percentual;Data
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:47:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:47:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:47:21
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:48:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:49:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:50:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:51:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:52:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:53:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:54:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:55:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:57:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:58:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 11:59:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:00:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:01:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:02:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:03:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:04:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:05:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:06:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:07:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:08:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:09:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:10:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:11:01
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:12:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:13:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:14:02
USD/BRL - US Dollar Brazil Real;3.9382;-0.0272;-0.69;2019-05-04 12:15:02
